
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-1-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
